"fact_id","time_id","fault_label","condition_id","shaft_rpm","engine_load","fuel_flow","air_pressure","ambient_temp","oil_temp","oil_pressure","vibration_x","vibration_y","vibration_z","cyl1_pressure","cyl1_exhaust_temp","cyl2_pressure","cyl2_exhaust_temp","cyl3_pressure","cyl3_exhaust_temp","cyl4_pressure","cyl4_exhaust_temp","sfoc","load_factor"
"1",229,0,1,"965.41","72.40","114.67","1.03","27.06","73.00","3.41","0.09","0.0763","0.0700","157.71","418.76","139.34","449.43","151.14","400.14","138.19","469.79","1.58","0.72"
"2",100,0,1,"965.41","72.40","114.67","1.03","27.06","73.00","3.41","0.09","0.0763","0.0700","157.71","418.76","139.34","449.43","151.14","400.14","138.19","469.79","1.58","0.72"
"3",229,0,1,"996.89","90.82","156.43","1.26","26.69","77.04","2.94","0.04","0.0667","0.0778","163.30","416.91","151.74","383.04","147.33","400.56","131.10","430.21","1.72","0.91"
"4",100,0,1,"996.89","90.82","156.43","1.26","26.69","77.04","2.94","0.04","0.0667","0.0778","163.30","416.91","151.74","383.04","147.33","400.56","131.10","430.21","1.72","0.91"
"5",229,0,1,"948.42","76.36","126.19","1.18","25.48","79.08","3.94","0.10","0.0472","0.0461","148.87","455.71","155.44","374.10","131.47","455.52","143.90","417.45","1.65","0.76"
"6",100,0,1,"948.42","76.36","126.19","1.18","25.48","79.08","3.94","0.10","0.0472","0.0461","148.87","455.71","155.44","374.10","131.47","455.52","143.90","417.45","1.65","0.76"
"7",229,0,1,"982.37","63.82","107.84","1.15","24.37","78.03","3.89","0.07","0.0676","0.0416","142.86","464.99","137.51","407.00","154.43","423.24","145.15","383.83","1.69","0.64"
"8",100,0,1,"982.37","63.82","107.84","1.15","24.37","78.03","3.89","0.07","0.0676","0.0416","142.86","464.99","137.51","407.00","154.43","423.24","145.15","383.83","1.69","0.64"
"9",229,0,1,"973.17","69.48","113.64","1.17","30.68","78.35","3.52","0.05","0.0856","0.0933","138.08","407.99","144.80","482.42","152.44","427.27","162.08","450.50","1.64","0.69"
"10",100,0,1,"973.17","69.48","113.64","1.17","30.68","78.35","3.52","0.05","0.0856","0.0933","138.08","407.99","144.80","482.42","152.44","427.27","162.08","450.50","1.64","0.69"
"11",229,0,1,"1014.16","80.04","120.44","1.08","27.25","76.73","3.42","0.05","0.0657","0.0486","136.05","376.43","137.37","393.45","150.01","441.15","149.21","408.77","1.50","0.80"
"12",100,0,1,"1014.16","80.04","120.44","1.08","27.25","76.73","3.42","0.05","0.0657","0.0486","136.05","376.43","137.37","393.45","150.01","441.15","149.21","408.77","1.50","0.80"
"13",229,5,1,"978.20","54.85","145.32","1.30","25.76","89.63","1.39","0.02","0.0665","0.0679","151.76","419.78","154.95","440.91","126.70","449.04","160.90","426.89","2.65","0.55"
"14",100,5,1,"978.20","54.85","145.32","1.30","25.76","89.63","1.39","0.02","0.0665","0.0679","151.76","419.78","154.95","440.91","126.70","449.04","160.90","426.89","2.65","0.55"
"15",229,0,1,"910.08","63.42","117.78","1.43","28.02","84.41","3.51","0.03","0.0555","0.0475","129.84","428.16","152.03","446.57","158.88","464.93","130.15","407.46","1.86","0.63"
"16",100,0,1,"910.08","63.42","117.78","1.43","28.02","84.41","3.51","0.03","0.0555","0.0475","129.84","428.16","152.03","446.57","158.88","464.93","130.15","407.46","1.86","0.63"
"17",229,0,1,"897.65","75.44","147.26","1.28","27.99","78.63","3.78","0.05","0.0381","0.0389","144.41","410.92","159.16","433.45","139.17","474.99","136.72","447.70","1.95","0.75"
"18",100,0,1,"897.65","75.44","147.26","1.28","27.99","78.63","3.78","0.05","0.0381","0.0389","144.41","410.92","159.16","433.45","139.17","474.99","136.72","447.70","1.95","0.75"
"19",229,7,1,"947.00","69.89","125.91","1.06","26.03","72.85","1.89","0.03","0.0536","0.5054","133.88","407.04","159.38","506.77","150.81","412.90","149.09","423.90","1.80","0.70"
"20",100,7,1,"947.00","69.89","125.91","1.06","26.03","72.85","1.89","0.03","0.0536","0.5054","133.88","407.04","159.38","506.77","150.81","412.90","149.09","423.90","1.80","0.70"
"21",229,3,1,"893.70","76.89","121.57","1.05","31.49","79.22","3.21","0.04","0.0665","0.0569","159.69","431.73","149.48","386.85","158.93","402.80","164.90","505.27","1.58","0.77"
"22",100,3,1,"893.70","76.89","121.57","1.05","31.49","79.22","3.21","0.04","0.0665","0.0569","159.69","431.73","149.48","386.85","158.93","402.80","164.90","505.27","1.58","0.77"
"23",229,0,1,"1013.25","79.74","114.64","1.15","27.55","80.37","3.07","0.06","0.0521","0.0707","151.80","405.15","143.57","363.81","138.52","399.25","158.39","427.63","1.44","0.80"
"24",100,0,1,"1013.25","79.74","114.64","1.15","27.55","80.37","3.07","0.06","0.0521","0.0707","151.80","405.15","143.57","363.81","138.52","399.25","158.39","427.63","1.44","0.80"
"25",229,0,1,"915.90","56.90","133.42","1.26","27.67","86.44","3.24","0.05","0.0536","0.0601","142.45","414.22","151.46","434.04","125.54","398.59","130.07","418.95","2.34","0.57"
"26",100,0,1,"915.90","56.90","133.42","1.26","27.67","86.44","3.24","0.05","0.0536","0.0601","142.45","414.22","151.46","434.04","125.54","398.59","130.07","418.95","2.34","0.57"
"27",229,0,1,"958.19","69.62","128.66","1.44","21.31","71.40","3.71","0.06","0.0264","0.0879","164.55","413.53","148.55","461.13","150.66","443.74","157.09","420.21","1.85","0.70"
"28",100,0,1,"958.19","69.62","128.66","1.44","21.31","71.40","3.71","0.06","0.0264","0.0879","164.55","413.53","148.55","461.13","150.66","443.74","157.09","420.21","1.85","0.70"
"29",229,6,1,"999.86","74.72","120.89","0.84","22.54","77.02","3.51","0.02","0.0433","0.0738","139.22","394.80","138.97","410.64","144.59","421.69","131.36","366.96","1.62","0.75"
"30",100,6,1,"999.86","74.72","120.89","0.84","22.54","77.02","3.51","0.02","0.0433","0.0738","139.22","394.80","138.97","410.64","144.59","421.69","131.36","366.96","1.62","0.75"
"31",229,1,1,"985.93","77.87","96.41","1.24","26.37","73.49","3.34","0.05","0.0300","0.0616","156.05","444.47","135.95","406.71","164.44","390.04","130.22","452.68","1.24","0.78"
"32",100,1,1,"985.93","77.87","96.41","1.24","26.37","73.49","3.34","0.05","0.0300","0.0616","156.05","444.47","135.95","406.71","164.44","390.04","130.22","452.68","1.24","0.78"
"33",229,3,1,"996.96","69.22","131.72","1.41","32.50","83.75","3.27","0.02","0.0631","0.0598","155.94","524.52","133.85","432.55","155.02","412.01","148.13","435.71","1.90","0.69"
"34",100,3,1,"996.96","69.22","131.72","1.41","32.50","83.75","3.27","0.02","0.0631","0.0598","155.94","524.52","133.85","432.55","155.02","412.01","148.13","435.71","1.90","0.69"
"35",229,1,1,"920.58","60.23","125.99","0.98","27.93","77.29","3.12","0.07","0.0241","0.0561","132.94","399.41","138.44","383.99","143.43","400.74","147.50","429.20","2.09","0.60"
"36",100,1,1,"920.58","60.23","125.99","0.98","27.93","77.29","3.12","0.07","0.0241","0.0561","132.94","399.41","138.44","383.99","143.43","400.74","147.50","429.20","2.09","0.60"
"37",229,0,1,"916.77","67.05","127.04","1.45","27.65","77.88","3.09","0.03","0.0330","0.0684","129.15","415.94","131.29","387.88","132.88","459.34","151.83","449.41","1.89","0.67"
"38",100,0,1,"916.77","67.05","127.04","1.45","27.65","77.88","3.09","0.03","0.0330","0.0684","129.15","415.94","131.29","387.88","132.88","459.34","151.83","449.41","1.89","0.67"
"39",229,0,1,"924.11","66.55","137.37","1.34","26.16","85.84","3.74","0.04","0.0148","0.0899","137.72","408.37","141.09","372.97","146.14","421.55","134.49","428.78","2.06","0.67"
"40",100,0,1,"924.11","66.55","137.37","1.34","26.16","85.84","3.74","0.04","0.0148","0.0899","137.72","408.37","141.09","372.97","146.14","421.55","134.49","428.78","2.06","0.67"
"41",229,0,1,"859.62","69.13","158.86","1.11","28.61","81.53","4.02","0.03","0.0480","0.0937","135.93","442.67","143.97","493.30","158.37","393.25","149.29","373.73","2.30","0.69"
